country,biome_3,biome_4,unece_name,efda_filename,senf_alias
Finland,Boreal,Boreal,Finland,finland,
Sweden,Boreal,Boreal,Sweden,sweden,
Norway,Boreal,Boreal,Norway,norway,
Estonia,Boreal,Boreal,Estonia,estonia,
Latvia,Boreal,Boreal,Latvia,latvia,
Lithuania,Boreal,Boreal,Lithuania,lithuania,
Belarus,Boreal,Boreal,Belarus,belarus,
Iceland,Boreal,Boreal,,,
Russia,Boreal,Boreal,,,
Austria,Temperate,Temperate,Austria,austria,
Belgium,Temperate,Temperate,Belgium,belgium,
Bosnia and Herzegovina,Temperate,Temperate,"Bosnia and Herzegovina (Desk study)",bosniaherzegovina,
Bulgaria,Temperate,Temperate,Bulgaria,bulgaria,
Czech Republic,Temperate,Temperate,,,
Czechia,Temperate,Temperate,Czechia,czechia,Czech Republic
Denmark,Temperate,Temperate,Denmark,denmark,
France,Temperate,Temperate,France,france,
Germany,Temperate,Temperate,Germany,germany,
Hungary,Temperate,Temperate,Hungary,hungary,
Moldova,Temperate,Temperate,"Republic of Moldova",moldova,
Netherlands,Temperate,Temperate,Netherlands,netherlands,
Poland,Temperate,Temperate,Poland,poland,
Romania,Temperate,Temperate,Romania,romania,
Serbia,Temperate,Temperate,Serbia,serbia,
Slovakia,Temperate,Temperate,Slovakia,slovakia,
Slovenia,Temperate,Temperate,Slovenia,slovenia,
Switzerland,Temperate,Temperate,Switzerland,switzerland,
Ukraine,Temperate,Temperate,Ukraine,ukraine,
Luxembourg,Temperate,Temperate,,luxembourg,
Liechtenstein,Temperate,Temperate,,liechtenstein,
Kosovo,Temperate,Temperate,,,
Republic of Serbia,Temperate,Temperate,,,
Bosnia and Herz.,Temperate,Temperate,,,
United Kingdom,Temperate,Temperate_UK,"United Kingdom of Great Britain and Northern Ireland",unitedkingdom,
Ireland,Temperate,Temperate_UK,Ireland,ireland,
Portugal,Mediterranean,Mediterranean,Portugal,portugal,
Spain,Mediterranean,Mediterranean,Spain,spain,
Greece,Mediterranean,Mediterranean,Greece,greece,
Italy,Mediterranean,Mediterranean,Italy,italy,
Albania,Mediterranean,Mediterranean,,albania,
Montenegro,Mediterranean,Mediterranean,Montenegro,montenegro,
North Macedonia,Mediterranean,Mediterranean,"North Macedonia (Desk study)",macedonia,Macedonia
Croatia,Mediterranean,Mediterranean,Croatia,croatia,
Cyprus,Mediterranean,Mediterranean,,,
Turkey,Mediterranean,Mediterranean,,,
Andorra,Mediterranean,Mediterranean,,andorra,
Åland,Boreal,Boreal,,,
