zone_label,country_root,sub_zone,biome,lambda_full,lambda_pre2018,lambda_post2018,forest_kha,severity
Albania,Albania,NA,Mediterranean,0.0023487337409028013,0.00248186871463367,0.0016386805476715028,914.82138,0.69
Austria,Austria,NA,Temperate,0.002413977759474827,0.0020178471959313576,0.00452667409837333,4497.99777,0.68
Belgium,Belgium,NA,Temperate,0.004184652215984922,0.004520739399823416,0.002392187235512957,848.39931,0.81
Bosnia and Herzegovina,Bosnia and Herzegovina,NA,Temperate,0.0015605631736387664,0.0016027949602922058,0.0013353269781537557,3005.40996,0.6
Bulgaria,Bulgaria,NA,Temperate,0.0017147962240070523,0.0018920142369422397,7.696334883527193e-4,4615.222769999999,0.65
Croatia,Croatia,NA,Mediterranean,0.0016753152843326337,0.0016364675147720461,0.0018825033886557682,2746.06677,0.66
Czechia,Czechia,NA,Temperate,0.003295786374844446,0.002095110327197579,0.009699391962294402,3272.1210899999996,0.73
Denmark,Denmark,NA,Temperate,0.004604928044065518,0.00476804286873794,0.0037349823124792677,678.8345400000001,0.85
Estonia,Estonia,NA,Boreal,0.0016666219421666835,0.0012437966281212869,0.0039216902837421325,2866.32018,0.78
Finland,Finland,NA,Boreal,3.4140546129203097e-4,3.2800188658382666e-4,4.1289119306912056e-4,24591.878370000002,0.8
France_Mediterranean,France,Mediterranean,Mediterranean,0.002708343343792257,0.0026789138705510863,0.0028653005344118354,3317.8456800000004,0.76
France_Temperate,France,Temperate,Temperate,0.0031550363680723265,0.003186135843502133,0.0029891724991133587,14265.99837,0.76
Germany,Germany,NA,Temperate,0.003395790557517593,0.0026829734666047765,0.007197481709052613,12233.420460000001,0.72
Greece,Greece,NA,Mediterranean,0.002292888750586535,0.002250432672974415,0.00251932116451784,4247.185769999999,0.7
Hungary,Hungary,NA,Temperate,0.003449467948267034,0.00355323107286674,0.0028960646170686014,2221.59753,0.76
Ireland,Ireland,NA,Temperate_UK,0.003617520809254182,0.003386400321643587,0.004850163409844021,727.96104,0.91
Italy_Mediterranean,Italy,Mediterranean,Mediterranean,0.0025817499479547637,0.002772145299971303,0.0015663080705332199,4563.2115,0.7
Italy_Temperate,Italy,Temperate,Temperate,0.0013422200841090401,0.0010118770248054728,0.0031040497337280655,4825.60245,0.7
Latvia,Latvia,NA,Boreal,0.001636766003414149,0.0013801295321432914,0.0030054938501920562,3878.2528199999997,0.79
Lithuania,Lithuania,NA,Boreal,0.0011180954695888133,0.0010968108113207653,0.001231613647018403,2432.6500499999997,0.77
North Macedonia,North Macedonia,NA,Mediterranean,0.002222933800380699,0.002383258778047812,0.0013678672528227625,1149.1136999999999,0.65
Montenegro,Montenegro,NA,Mediterranean,0.002968525639279328,0.0027479665866072156,0.004144840586863926,881.38251,0.6
Netherlands,Netherlands,NA,Temperate,0.0040723932921690196,0.004050404612162621,0.004189666252203145,573.2711999999999,0.77
Poland,Poland,NA,Temperate,0.0016688768991125552,0.0015444303934085738,0.002332591596200455,11149.96086,0.75
Portugal,Portugal,NA,Mediterranean,0.014147529941335694,0.013568204267101064,0.01723726687058706,3087.6461099999997,0.88
Romania,Romania,NA,Temperate,0.0017483894711573496,0.0018918378319072358,9.833315471579574e-4,8838.71775,0.73
Serbia,Serbia,NA,Temperate,0.0016066315008084807,0.001740647288771365,8.918806316730974e-4,3854.87685,0.65
Slovakia,Slovakia,NA,Temperate,0.0015756577913281424,0.0016245269793364677,0.0013150221219504078,2467.85202,0.74
Slovenia,Slovenia,NA,Temperate,0.001135638711767702,8.205272151626277e-4,0.0028162333603280985,1338.0372,0.58
Spain,Spain,NA,Mediterranean,0.004869284004074589,0.004970630083013098,0.00432877158306921,14908.40271,0.8
Sweden,Sweden,NA,Boreal,0.0012887511148853613,0.0011932462709732961,0.0017981102824163753,30720.79368,0.81
Switzerland,Switzerland,NA,Temperate,0.0015108047896026451,0.0014941438127318287,0.0015996633329136657,1491.89517,0.66
United Kingdom,United Kingdom,NA,Temperate_UK,0.0029455295494035445,0.002551866823555895,0.005045064087257673,2475.58104,0.88
