OBJECTID,country,project_id,project_name,group_id,group_name,project_status,class,sub_class,grant_reference,phase,hectares,Shape__Area,Shape__Length
1,Wales,103000000004283,Brynrhyg,,,Verified,Planted,Broadleaved (>80%),BWW 17091,1,9.51,95079.72909164429,2675.7058953336946
2,Scotland,103000000004381,Lawel Hill,,,Verified,Planted,Mixed predominantly conifer (50-80%),SRDP 31900860,1,58.06,580633.0156555176,5859.850927952511
3,Scotland,103000000004384,Glenmuck,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 034900869,1,41.94,419382.87239074707,3207.3266420468576
4,Wales,103000000004386,Iscoed,,,Verified,Planted,Broadleaved (>80%),"Glastir 052002175, Glastir 25867",1,16.59,165919.22901535034,2021.2637036242888
5,Scotland,103000000004388,Minsca,,,Verified,Planted,Broadleaved (>80%),SRDP 034900947,1,15.8,157990.44862365723,4679.975292370351
6,Scotland,103000000004390,Garvalt Burn,,,Verified,Planted,Mixed predominantly conifer (50-80%),SRDP 4405223,1,50.27,502658.45751953125,3433.2498713704526
7,England,103000000004392,Haywood,,,Verified,Planted,Mixed predominantly conifer (50-80%),"EWGS 24170, EWGS 30040",1,61.9,618966.5770263672,9390.521049967814
8,Scotland,103000000004403,Overkirkhope,,,Verified,Planted,Broadleaved (>80%),RDC_RP/3836897/803/0024/3836097/S/002,1,168.31,1683064.864868164,14526.717637204856
9,Scotland,103000000004406,Scalpay West,,,Verified,Planted,Broadleaved (>80%),SRDP 3890415,5,108.52,1085180.5380325317,19483.27421765262
10,Scotland,103000000004406,Scalpay West,,,Verified,Natural Regeneration - Future,Conifer (>80%),SRDP 3890415,5,1.05,10451.441329956055,595.5987181355495
11,Scotland,103000000004406,Scalpay West,,,Verified,Other,Open Ground,SRDP 3890415,5,68.11,681141.6861724854,20046.633316061605
12,England,103000000004407,Moorside Wood,,,Verified,Planted,Broadleaved (>80%),"EWGS 17363, EWGS 19456",1,22.07,220696.95135498047,3416.3397243014842
13,Scotland,103000000004408,Topps Wood,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4158347,1,23.03,230337.53259277344,2465.2026458676546
14,Scotland,103000000004411,Floors,,,Verified,Planted,Broadleaved (>80%),SRDP 4166814,1,13.05,130452.64404296875,1984.1419707856305
15,Scotland,103000000004412,Mid Hill,,,Verified,Planted,Broadleaved (>80%),SRDP 4139390,1,74.58,745782.5949859619,5499.176676169666
16,Scotland,103000000004413,Bills Cleuch,,,Verified,Planted,Broadleaved (>80%),SRDP 4405217,1,260.06,2600559.4062194824,7370.910864076333
17,England,103000000004414,Higham Estate,,,Verified,Planted,Broadleaved (>80%),EWGS 15285,1,8.51,85145.67102050781,1865.941602541756
18,Scotland,103000000004415,Ken View,,,Verified,Planted,Broadleaved (>80%),SRDP 4159128,1,30.57,313805.2023159638,4709.739191493766
19,Scotland,103000000004415,Ken View,,,Verified,Other,Open Ground,SRDP 4159128,1,11.37,113663.34763120487,3857.6165681942184
20,Scotland,103000000004416,Milton of Mathers,,,Verified,Planted,Broadleaved (>80%),SRDP 031900872,1,17.41,174117.25902804732,4885.809373054125
21,Scotland,103000000004417,Cairns Farm,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4158347,1,6.65,66532.1939086914,3360.8536943673143
22,Scotland,103000000004418,Alladale Phase II,,,Verified,Planted,Mixed predominantly conifer (50-80%),SRDP 3785252,1,178.4,1784008.8361968994,6860.029955005035
23,Scotland,103000000004419,Ardochy,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 3854252,1,323.27,3232664.703063965,9237.707411721261
24,Scotland,103000000004420,Barr Farm,,,Verified,Planted,Broadleaved (>80%),SRDP 43353388,1,14.38,143804.09968566895,1616.2375948956849
25,Scotland,103000000004420,Barr Farm,,,Verified,Planted,Conifer (>80%),SRDP 43353388,1,13.45,134506.78190612793,1777.7334725044202
26,Scotland,103000000004421,Stonebyres,,,Verified,Planted,Broadleaved (>80%),SRDP 3644239,1,11.33,113308.24739074707,1342.2681241271036
27,Scotland,103000000004422,Winterhope,,,Verified,Planted,Broadleaved (>80%),SRDP 4177918,1,115.58,1155794.6861877441,17664.168533867607
28,England,103000000004423,Reathwaite,,,Verified,Planted,Broadleaved (>80%),EWGS 19621,1,12.46,124608.4149017334,5283.43734706114
29,Scotland,103000000004424,Gorton Hill,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4139390,1,196.35,1963463.6861419678,12675.23992907145
30,Scotland,103000000004424,Gorton Hill,,,Verified,Other,Open Ground,SRDP 4139390,1,47.21,472084.3103027344,8397.543847638097
31,Scotland,103000000004429,Glen Estate Jubilee Wood,,,Verified,Planted,Broadleaved (>80%),SRDP 469/0471,1,37.82,378210.9578704834,3983.3422361250914
32,England,103000000004430,Yoxall,,,Verified,Planted,Broadleaved (>80%),EWGS 23933,1,15.73,157285.04780578613,1806.8132293069646
33,Scotland,103000000004433,Parkhead Community Woodland,,,Verified,Planted,Broadleaved (>80%),SRDP 4890391,1,21.14,211426.00581359863,3011.798026082172
34,England,103000000004434,Long Wood,,,Verified,Planted,Broadleaved (>80%),EWGS 15423,1,11.73,117278.88569641113,4955.862278966184
35,Scotland,103000000004435,Broadgairhill,,,Verified,Planted,Broadleaved (>80%),SRDP 4131811,1,207.95,2079490.687652588,11114.87448937133
36,Scotland,103000000004436,Broxburn Community Woodland Phase 4,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 3871035,1,16.9,168952.92561340332,1987.1875522964056
37,Scotland,103000000004439,Corehead,,,Verified,Planted,Broadleaved (>80%),SRDP 4125784,1,196.33,1963274.024154663,16638.54560746164
38,Wales,103000000004447,Cwm Fagor,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),BWW 18694,1,33.15,331520.31214904785,2998.9586569972544
