country,area_conifer_kha,area_broadleaf_kha,area_mixed_kha,source
Sweden,21416,3364,3153,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Finland,16107,1379,5058,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Latvia,1359,1573,535,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Estonia,878,1020,549,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Lithuania,1007,888,321,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Spain,7537,10053,1543,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Italy,1196,6953,1273,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Greece,NA,NA,NA,"not reported in SoEF 2025 Table 9 (row present, cells blank)"
France,3274,11880,2642,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Portugal,824,2185,353,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Croatia,137,1576,233,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
North Macedonia,91,626,325,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Albania,104,753,85,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Montenegro,149,588,91,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Germany,2678,2813,5990,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Poland,5396,2464,1634,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Romania,1886,4841,231,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Bulgaria,1079,2880,NA,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Austria,1961,720,644,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Serbia,255,3059,161,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Czechia,NA,NA,NA,"not reported in SoEF 2025 Table 9 (row present, cells blank)"
Bosnia and Herzegovina,268,1516,378,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Slovakia,486,1062,393,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Hungary,117,1671,91,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Switzerland,477,422,369,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Slovenia,250,828,166,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Belgium,254,365,51,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Denmark,286,289,68,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Netherlands,85,195,89,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
United Kingdom,1580,1698,NA,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
Ireland,538,177,118,"Forest Europe (2025), Annex to SoEF 2025: Data Tables, Table 9 (Ind. 1.2) 'Growing stock by forest type, 2025', forest-area block (1000 ha)"
